Geography,Gender,AgeGroup,CreditScoreGroup,BalanceSegment,TenureSegment,NumOfProducts,IsActiveMember,Balance,EstimatedSalary,SalarySegment,RiskSegment,RevenueLost,Exited
Germany,Male,30-45,Medium,High Balance,New Customer,3,0,109196.66,109393.19,High Salary,High Risk,109196.66,1
Spain,Female,30-45,Medium,High Balance,New Customer,3,0,134168.5,3966.5,Low Salary,High Risk,134168.5,1
Germany,Male,60+,Medium,High Balance,Mid-term Customer,1,0,120100.41,107563.16,High Salary,High Risk,120100.41,1
Germany,Male,30-45,Low,High Balance,New Customer,2,1,135559.8,71856.3,Medium Salary,Normal,0,0
Germany,Female,Under 30,High,High Balance,New Customer,2,1,150355.35,35770.84,Low Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,133489.12,78101.29,Medium Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,1,0,105489.31,143096.49,High Salary,High Risk,105489.31,1
Germany,Male,Under 30,High,Low Balance,Long-term Customer,2,0,60205.2,14073.11,Low Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,112333.63,65706.86,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,1,116936.81,104379.36,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,1,117721.02,192146.63,High Salary,Normal,117721.02,1
France,Male,30-45,High,High Balance,Mid-term Customer,2,1,165896.22,66977.68,Medium Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,Long-term Customer,1,0,153656.85,158742.81,High Salary,High Risk,0,0
France,Female,46-60,High,Low Balance,New Customer,1,1,94164,189414.74,High Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,0,191808.73,97640.2,Medium Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,152199.33,86022.09,Medium Salary,Normal,0,0
Germany,Female,46-60,Low,High Balance,Long-term Customer,1,0,125396.24,10014.72,Low Salary,High Risk,125396.24,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,3,0,104405.54,17384.21,Low Salary,High Risk,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,1,133801.49,143315.57,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,100047.33,93429.95,Medium Salary,High Risk,0,0
France,Female,30-45,High,High Balance,New Customer,1,1,109848.6,42012.55,Low Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,127849.38,15798.7,Low Salary,High Risk,0,0
France,Female,Under 30,Medium,Low Balance,Long-term Customer,1,0,95947.76,4696.44,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,137638.69,130442.08,High Salary,High Risk,137638.69,1
France,Male,30-45,Medium,Low Balance,Long-term Customer,1,0,89416.99,144275.39,High Salary,Normal,0,0
France,Female,46-60,Medium,High Balance,Mid-term Customer,1,1,143262.04,129562.74,High Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,119656.45,4595.05,Low Salary,Normal,0,0
France,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,132954.64,146715.07,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,105206.7,163558.36,High Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,Long-term Customer,2,0,83061.26,9170.54,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,147650.68,199674.83,High Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,73348.56,157166.79,High Salary,Normal,73348.56,1
Spain,Female,Under 30,Medium,High Balance,New Customer,1,1,116320.68,45563.94,Low Salary,Normal,0,0
France,Male,60+,Medium,Low Balance,Long-term Customer,1,1,66250.71,21859.06,Low Salary,Normal,0,0
Germany,Female,Under 30,Low,Low Balance,New Customer,2,0,95675.62,162699.7,High Salary,Normal,95675.62,1
Germany,Male,30-45,Medium,Low Balance,New Customer,2,0,92616.64,8567.18,Low Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,Long-term Customer,1,1,100565.94,128799.86,High Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,Mid-term Customer,1,0,190305.78,99347.8,Medium Salary,High Risk,190305.78,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,118536.4,40980.87,Low Salary,High Risk,118536.4,1
France,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,127649.64,40368.65,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,165358.77,94738.54,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,78249.53,136934.91,High Salary,Normal,0,0
Germany,Female,60+,Medium,High Balance,New Customer,1,1,125193.96,109356.53,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,154007.21,158408.23,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,New Customer,2,1,133214.88,95936.84,Medium Salary,Normal,0,0
Spain,Male,60+,Medium,High Balance,New Customer,1,1,146202.93,126688.83,High Salary,Normal,146202.93,1
France,Male,30-45,Low,Low Balance,New Customer,1,1,90963.49,27802,Low Salary,Normal,0,0
Spain,Male,60+,High,High Balance,Mid-term Customer,1,1,114386.85,28601.68,Low Salary,Normal,0,0
Spain,Male,60+,Medium,High Balance,Mid-term Customer,1,1,137260.78,94433.08,Medium Salary,Normal,137260.78,1
France,Male,30-45,Medium,High Balance,Long-term Customer,2,0,111060.05,110371.84,High Salary,High Risk,0,0
Spain,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,124447.73,141364.62,High Salary,Normal,124447.73,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,135310.41,171668.2,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,139393.19,33950.08,Low Salary,High Risk,0,0
France,Female,Under 30,High,High Balance,New Customer,1,1,104258.8,428.23,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,113447.01,82084.3,Medium Salary,High Risk,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,2,0,111063.73,83556.65,Medium Salary,High Risk,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,1,0,161378.02,71926.28,Medium Salary,High Risk,161378.02,1
Spain,Female,30-45,Medium,Low Balance,New Customer,1,1,82766.43,122925.44,High Salary,Normal,0,0
France,Female,60+,Medium,High Balance,New Customer,1,0,104267.7,62845.64,Medium Salary,High Risk,104267.7,1
France,Female,Under 30,High,Low Balance,New Customer,1,0,91718.8,28411.23,Low Salary,Normal,0,0
Spain,Female,46-60,High,Low Balance,New Customer,1,1,63488.7,28640.92,Low Salary,Normal,63488.7,1
Spain,Female,46-60,Medium,Low Balance,Mid-term Customer,1,0,12459.19,156787.34,High Salary,Normal,12459.19,1
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,159863.9,125307.87,High Salary,Normal,0,0
Germany,Male,Under 30,Low,High Balance,Mid-term Customer,2,0,104592.55,131736.23,High Salary,High Risk,0,0
Spain,Female,46-60,High,High Balance,Mid-term Customer,1,1,132088.59,128262.14,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Mid-term Customer,1,0,120654.68,82290.81,Medium Salary,High Risk,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,1,83772.95,23920.65,Low Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,172325.67,45438.38,Low Salary,Normal,0,0
France,Male,46-60,High,High Balance,Mid-term Customer,2,1,117685.31,93360.35,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,135871.5,87219.41,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,0,128504.76,126812.63,High Salary,High Risk,128504.76,1
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,56228.25,46857.52,Low Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,Mid-term Customer,1,0,98792.4,81491.7,Medium Salary,Normal,98792.4,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,181768.32,129107.97,High Salary,Normal,0,0
Spain,Female,46-60,Medium,High Balance,Long-term Customer,1,1,101198.01,49732.9,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,2,0,139064.06,67949.32,Medium Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,104508.1,147636.46,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,113948.58,188891.96,High Salary,High Risk,113948.58,1
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,117524.72,161064.29,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,160389.82,183542.08,High Salary,Normal,0,0
France,Male,Under 30,Medium,High Balance,New Customer,1,0,125547.53,7900.46,Low Salary,High Risk,0,0
Spain,Male,46-60,Medium,Low Balance,Mid-term Customer,1,1,92783.68,51424.29,Medium Salary,Normal,0,0
Germany,Male,46-60,Medium,Low Balance,Mid-term Customer,2,0,97036.22,152450.84,High Salary,Normal,97036.22,1
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,102145.13,100637.07,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,0,113452.66,142911.99,High Salary,High Risk,0,0
Spain,Female,46-60,Medium,High Balance,Long-term Customer,1,0,155681.72,26287.21,Low Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,127475.24,60775.76,Medium Salary,High Risk,127475.24,1
France,Male,30-45,Low,High Balance,Long-term Customer,1,1,112751.13,28332,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,144889.18,102591.9,High Salary,Normal,144889.18,1
France,Female,Under 30,High,High Balance,Mid-term Customer,1,0,150126.44,152107.93,High Salary,High Risk,150126.44,1
France,Male,46-60,High,Low Balance,Long-term Customer,1,1,69712.74,69381.05,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,117438.92,16910.98,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,119315.75,150468.35,High Salary,High Risk,0,0
France,Female,30-45,High,Low Balance,New Customer,1,1,89571.59,177613.19,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,102251.57,120672.09,High Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Long-term Customer,1,1,118546.71,77142.85,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,New Customer,1,0,103257.14,158344.63,High Salary,High Risk,0,0
Spain,Female,30-45,High,High Balance,New Customer,1,1,124209.02,167179.48,High Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,Mid-term Customer,1,1,150302.84,156036.19,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,1,108653.93,144725.14,High Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,85325.93,22558.74,Low Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,3,0,135776.36,85470.45,Medium Salary,High Risk,135776.36,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,131411.24,194656.11,High Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,2,1,106431.97,164117.69,High Salary,Normal,0,0
France,Male,46-60,High,Low Balance,Long-term Customer,1,1,90305.76,124626.57,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,2,1,117466.03,34490.06,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,2,1,148884.47,90967.37,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,91115.76,24208.84,Low Salary,Normal,91115.76,1
Germany,Female,30-45,Medium,Low Balance,Long-term Customer,2,1,77373.87,174873.09,High Salary,Normal,0,0
Spain,Male,Under 30,Medium,High Balance,Mid-term Customer,1,0,104744.89,170262.97,High Salary,High Risk,0,0
Germany,Male,30-45,High,Low Balance,Mid-term Customer,1,1,91538.51,93783,Medium Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,1,1,185734.75,102036.82,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,2,1,143396.54,898.51,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,125909.85,95124.4,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,154525.7,27468.72,Low Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,Long-term Customer,1,0,100654.8,171587.9,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,Low Balance,New Customer,1,1,83325.77,80828.78,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,110934.54,169287.99,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,0,113680.54,13197.44,Low Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,New Customer,2,0,117020.08,54439.53,Medium Salary,High Risk,0,0
France,Female,46-60,Medium,High Balance,Long-term Customer,1,0,145359.99,38186.85,Low Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,151391.68,27274.6,Low Salary,High Risk,151391.68,1
Spain,Male,60+,Medium,High Balance,Long-term Customer,1,1,123935.35,65758.19,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,New Customer,1,1,70291.02,115468.84,High Salary,Normal,70291.02,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,166031.45,98293.14,Medium Salary,High Risk,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,96643.32,182059.28,High Salary,Normal,0,0
Germany,Male,Under 30,High,Low Balance,Mid-term Customer,2,0,97268.1,39356.38,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,Low Balance,New Customer,1,0,76296.81,42364.75,Low Salary,Normal,76296.81,1
Germany,Female,30-45,High,Low Balance,Mid-term Customer,3,1,64497.94,182436.81,High Salary,Normal,64497.94,1
Spain,Male,46-60,High,High Balance,New Customer,1,1,134249.7,13404.4,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,1,105443.68,121124.53,High Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,86147.46,163440.8,High Salary,Normal,86147.46,1
Spain,Female,30-45,Medium,Low Balance,New Customer,1,1,96939.06,102606.92,High Salary,Normal,0,0
Spain,Male,46-60,Medium,High Balance,New Customer,1,1,106758.6,80591.18,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Long-term Customer,2,0,112528.65,177362.45,High Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,0,116563.58,120257.7,High Salary,High Risk,116563.58,1
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,141786.78,147797.54,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,1,1,136416.82,57844.26,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,2,1,133245.52,54495.82,Medium Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,Mid-term Customer,2,1,90757.64,169183.66,High Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,New Customer,1,1,92350.36,80262.91,Medium Salary,Normal,0,0
Germany,Male,60+,Medium,Low Balance,Long-term Customer,1,1,78778.49,8751.59,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,102143.93,102628.98,High Salary,Normal,0,0
Germany,Male,30-45,High,Low Balance,Mid-term Customer,1,0,98459.6,90821.66,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,2,0,114603.76,153194.32,High Salary,High Risk,114603.76,1
Germany,Female,46-60,High,High Balance,Mid-term Customer,1,0,148074.79,146411.41,High Salary,High Risk,148074.79,1
Spain,Female,60+,Medium,High Balance,Long-term Customer,1,1,108004.64,23386.77,Low Salary,Normal,108004.64,1
Germany,Female,Under 30,Medium,High Balance,New Customer,2,1,107712.57,92898.17,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,145303.52,103560.98,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,138476.41,52367.29,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,Long-term Customer,1,1,127471.56,152916.05,High Salary,Normal,127471.56,1
France,Male,Under 30,High,High Balance,Mid-term Customer,1,1,156551.63,4410.77,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,Low Balance,Long-term Customer,1,0,97092.87,74771.22,Medium Salary,Normal,97092.87,1
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,129312.79,26793.82,Low Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,Long-term Customer,2,1,100315.1,32526.64,Low Salary,Normal,0,0
France,Female,30-45,High,Low Balance,Mid-term Customer,1,0,81684.97,824,Low Salary,Normal,0,0
Spain,Male,46-60,Medium,Low Balance,New Customer,1,0,88827.53,85250.77,Medium Salary,Normal,88827.53,1
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,152092.44,83508.93,Medium Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,1,102406.76,57600.66,Medium Salary,Normal,0,0
France,Male,Under 30,High,High Balance,Mid-term Customer,2,1,109130.96,56191.99,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Long-term Customer,1,1,75242.28,101694.67,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,2,1,129142.54,26606.28,Low Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,139129.92,63747.51,Medium Salary,Normal,0,0
Spain,Male,Under 30,Medium,Low Balance,New Customer,1,1,66483.32,110317.39,High Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,3,0,62389.03,148623.43,High Salary,Normal,62389.03,1
France,Male,46-60,Low,Low Balance,New Customer,1,0,91857.66,101954.78,High Salary,Normal,91857.66,1
France,Female,30-45,Medium,High Balance,Long-term Customer,1,0,176173.52,97045.32,Medium Salary,High Risk,176173.52,1
France,Female,30-45,Low,High Balance,Mid-term Customer,2,0,131834.76,8949.2,Low Salary,High Risk,0,0
France,Male,46-60,Medium,Low Balance,New Customer,1,1,92347.96,163116.75,High Salary,Normal,0,0
France,Male,30-45,High,Low Balance,New Customer,1,0,95297.11,171515.84,High Salary,Normal,0,0
France,Female,46-60,High,High Balance,Long-term Customer,2,1,123845.36,170454.93,High Salary,Normal,123845.36,1
Germany,Male,60+,Medium,High Balance,New Customer,2,1,143426.34,143104.3,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,112708.2,186370.3,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,100013.51,24275.32,Low Salary,High Risk,0,0
France,Female,30-45,Low,High Balance,New Customer,1,0,208165.53,50774.81,Medium Salary,High Risk,208165.53,1
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,121685.31,83681.97,Medium Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,1,0,111525.02,199484.96,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,1,113546.3,134875.37,High Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,2,1,95696.52,184366.14,High Salary,Normal,0,0
France,Male,Under 30,Medium,Low Balance,New Customer,2,1,88963.31,189839.93,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,New Customer,2,1,144880.34,175643.44,High Salary,Normal,0,0
France,Male,46-60,High,High Balance,Long-term Customer,1,1,136576.02,3268.17,Low Salary,Normal,136576.02,1
France,Female,30-45,Low,Low Balance,New Customer,1,1,63093.01,47089.72,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,132271.12,46562.02,Low Salary,Normal,0,0
France,Female,Under 30,Medium,Low Balance,New Customer,2,1,88814.4,62487.97,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,90594.55,181598.25,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,141816.25,64815.05,Medium Salary,High Risk,141816.25,1
France,Female,46-60,Low,High Balance,New Customer,1,1,138547.97,70196.23,Medium Salary,Normal,138547.97,1
France,Female,30-45,High,Low Balance,New Customer,2,1,52192.08,160383.47,High Salary,Normal,0,0
France,Male,30-45,Low,High Balance,Mid-term Customer,1,0,124976.19,35848.12,Low Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,0,104356.38,94498.82,Medium Salary,High Risk,0,0
Spain,Female,46-60,Medium,High Balance,Long-term Customer,1,1,150315.92,133486.36,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,2,0,129299.28,73107.6,Medium Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,0,140950.92,195333.98,High Salary,High Risk,0,0
Spain,Male,30-45,High,High Balance,New Customer,1,0,128065.12,121525.48,High Salary,High Risk,0,0
France,Male,Under 30,High,High Balance,New Customer,1,0,107433.48,173843.21,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,117468.67,185227.42,High Salary,High Risk,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,153040.03,131363.57,High Salary,Normal,153040.03,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,4,0,142084.04,188305.85,High Salary,High Risk,142084.04,1
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,112079.58,89368.59,Medium Salary,High Risk,0,0
Spain,Male,60+,Medium,High Balance,Mid-term Customer,2,1,132044.6,158365.89,High Salary,Normal,0,0
Spain,Female,46-60,High,Low Balance,Long-term Customer,1,0,66582.81,78753.12,Medium Salary,Normal,66582.81,1
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,102895.1,155665.76,High Salary,High Risk,0,0
Germany,Male,Under 30,High,High Balance,Mid-term Customer,2,1,117578.35,87908.01,Medium Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,Long-term Customer,2,0,198546.1,191198.92,High Salary,High Risk,198546.1,1
Germany,Male,Under 30,Medium,High Balance,New Customer,1,1,116623.31,59905.29,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,3,0,105770.7,60533.96,Medium Salary,High Risk,105770.7,1
France,Female,30-45,High,Low Balance,New Customer,2,1,94435.45,189430.86,High Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,1,1,112889.91,6723.66,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,127940.47,125140.72,High Salary,High Risk,127940.47,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,1,129745.1,143683.75,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,0,141535.52,50595.15,Medium Salary,High Risk,141535.52,1
France,Female,46-60,Medium,High Balance,New Customer,1,1,139914.27,50390.98,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,120243.49,163150.03,High Salary,High Risk,120243.49,1
France,Male,30-45,High,Low Balance,Long-term Customer,1,0,91835.16,138280.17,High Salary,Normal,0,0
Spain,Female,Under 30,Medium,Low Balance,Long-term Customer,1,1,67178.19,163534.75,High Salary,Normal,67178.19,1
Spain,Male,30-45,High,High Balance,Mid-term Customer,1,1,115378.94,162087.82,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,1,127786.28,28879.3,Low Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,New Customer,2,0,64900.32,102426.12,High Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,New Customer,1,0,109172.88,54676.1,Medium Salary,High Risk,109172.88,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,114091.38,159888.1,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,145933.27,199392.14,High Salary,Normal,0,0
Germany,Female,30-45,Low,High Balance,Mid-term Customer,1,0,131504.73,189560.43,High Salary,High Risk,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,1,1,107926.02,17375.27,Low Salary,Normal,107926.02,1
Germany,Female,46-60,High,High Balance,Long-term Customer,3,0,112281.6,140225.14,High Salary,High Risk,112281.6,1
France,Male,30-45,High,High Balance,New Customer,1,1,124781.67,33700.52,Low Salary,Normal,0,0
France,Female,30-45,High,High Balance,Long-term Customer,1,1,132865.56,59636.43,Medium Salary,Normal,132865.56,1
Germany,Female,30-45,High,High Balance,Mid-term Customer,1,0,129055.13,157147.59,High Salary,High Risk,0,0
Germany,Male,60+,Medium,Low Balance,Mid-term Customer,1,1,96166.88,191393.26,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,165298.12,199862.75,High Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,120682.53,30635.52,Low Salary,High Risk,120682.53,1
Spain,Male,30-45,High,High Balance,Mid-term Customer,2,1,102773.15,117832.88,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,144386.32,22497.1,Low Salary,Normal,144386.32,1
Germany,Female,30-45,High,High Balance,Mid-term Customer,1,1,104449.8,747.88,Low Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,137102.65,76870.81,Medium Salary,High Risk,0,0
France,Female,30-45,High,High Balance,Long-term Customer,1,1,142475.87,107848.24,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,New Customer,2,0,103195.2,178268.36,High Salary,High Risk,0,0
France,Male,Under 30,Medium,High Balance,New Customer,1,1,112070.44,126281.83,High Salary,Normal,0,0
France,Male,30-45,Low,Low Balance,New Customer,1,0,96473.59,5962.3,Low Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Long-term Customer,1,0,108437.89,127022.87,High Salary,High Risk,108437.89,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,153195.59,162763.01,High Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Long-term Customer,1,1,96877.21,113950.51,High Salary,Normal,0,0
France,Female,30-45,High,Low Balance,Mid-term Customer,1,1,95452.89,179964.55,High Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,New Customer,1,0,63873.56,83753.64,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,2,0,148298.59,182913.95,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,143258.85,192721.98,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,1,121342.24,180241.44,High Salary,Normal,0,0
Germany,Female,Under 30,Medium,Low Balance,Mid-term Customer,2,0,99152.73,48475.12,Low Salary,Normal,0,0
Spain,Male,30-45,High,Low Balance,Mid-term Customer,1,1,68423.89,64872.55,Medium Salary,Normal,0,0
Germany,Female,Under 30,Medium,Low Balance,Mid-term Customer,1,0,79656.81,93524.22,Medium Salary,Normal,0,0
France,Female,46-60,Medium,High Balance,Long-term Customer,1,0,110240.04,183980.56,High Salary,High Risk,110240.04,1
France,Female,30-45,Medium,High Balance,Long-term Customer,2,1,125321.84,130234.63,High Salary,Normal,0,0
